,Reporting_Month,Provider,MDT,Service Line,Service Line Code,Source,Source Description,Actual Cost,Actual Activity,POD,POD_Detail,National_POD_Code,revised_national_POD,Contract_Type,PBR FLAG,HRG Code,Revised HRG Code,HRG Desc,Excess bed days,Excess bed day Cost,Drug/Device Name,Highly Specialised,Adhoc_Further_Detail,Annual Plan excl CQUIN,YTD Plan excl CQUIN,YTD Variance,Annual Plan inc CQUIN,Activity Plan,Activity YTD Plan,Unit Price,Marginal Rate,Marginal Threshold,CQUIN,Main Specialty Code,Treatment Function Code,TFC Description,Provider_Code,Provider_Site,Claims_Category,Challenge Amount,POD Level 1,POD Level 2,POD Level 3,POD Level 4,POD Order,Measure,Measure Description,HRG Chapter,HRG Subchapter,NPoc,NPoC_Service,NPoC_Service_Code,Reported_Flag,Flex_Freeze,Drug Category/Device Code,Drug Device Indicator,Order,Type,Provider Tier,Reporting Quarter,CCG_Code,Activity_Type,Challenged_Activity,Source_ID,Report_Flag_Category,RAW_Commissioned_Service_Category_Code,RAW_Organisation_Identifier_Code_Of_Commissioner,Raw_Service_Line_Code,Raw_National_POD_Code,CCG Region Code,CCG Region Name,CCG STP Code,CCG STP Name,Provider Region Code,Provider Region Name,Provider STP Code,Provider STP Name,MFF payment index for _2019/20,PROVIDER TARIFF UNIT COST FOR XBD (Z),ACTUAL TARIFF UNIT COST FOR XBD (Z),ACTUAL TARIFF XBD DAYS 2021 COST (Z),Variance of 1920 cost,2020/21 MFF,2020/21 STU,2020/21 XBD TARIFF,2020/21 Base HRG,2020/21 STU COST,2020/21 MFF COST,2020/21 TOTAL UNIT COST,2020/21 TOTAL COST INITIAL,2020/21 TOTAL COST FINAL
0,7.0,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SW,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,NCBPS08O,PLD,PLD,647.443166,1.0,DC,Daycase,DC,DC,Block,Y,AB17Z,AB17Z,"Nerve Block or Destruction of Nerve, for Pain Management",0.0,0.0,,No,,0.0,0.0,647.443166,0.0,0.0,0.0,,,,,,400,Neurology,RJ7,RJ701,,0.0,Admitted Patient Care,Elective (admission method 11-13),Elective (admission method 11-13),Daycase (patient class 2 & LoS 0),8.0,SPELL,Finished spell,Nervous System,Pain Management,D: Trauma,NEUROSCIENCES,D04,Yes,Freeze,,,8.0,AC,1.0,Q3,,PLCM,Not Queried,COMBINED PLCM/627947/451720,Yes,21,13R,NCBPS08O,DC,Y56,London,QMF,East London STP,Y56,London,QWE,South West London Health & Care Partnership (STP),1.201694,501.0000003655493,501.0,4.77e-07,2.7754003931116813,0.19093399999999994,0.0754,257.0,510.0,38.454,104.71851603599995,653.1725160359999,653.1725160359999,653.172516513
1,7.0,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SW,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,NCBPS08O,PLD,PLD,647.443166,1.0,DC,Daycase,DC,DC,Block,Y,AB17Z,AB17Z,"Nerve Block or Destruction of Nerve, for Pain Management",0.0,0.0,,No,,0.0,0.0,647.443166,0.0,0.0,0.0,,,,,,400,Neurology,RJ7,RJ701,,0.0,Admitted Patient Care,Elective (admission method 11-13),Elective (admission method 11-13),Daycase (patient class 2 & LoS 0),8.0,SPELL,Finished spell,Nervous System,Pain Management,D: Trauma,NEUROSCIENCES,D04,Yes,Freeze,,,8.0,AC,1.0,Q3,,PLCM,Not Queried,COMBINED PLCM/627947/451720,Yes,21,13R,NCBPS08O,DC,Y59,South East Commissioning Region,QRL,Hampshire and the Isle of Wight STP,Y56,London,QWE,South West London Health & Care Partnership (STP),1.201694,501.0000003655493,501.0,4.77e-07,2.7754003931116813,0.19093399999999994,0.0754,257.0,510.0,38.454,104.71851603599995,653.1725160359999,653.1725160359999,653.172516513
2,4.0,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SW,NONE (SPECIALISED SERVICE BUT NOT ATTRIBUTABLE),NCBPSXXX,PLD,PLD,177.850712,1.0,UB,Unbundled,UNBOTHER,UNBOTHER,Block,Y,PL70A,PL70A,Paediatric Other Renal Diseases with CC Score 4+,0.0,0.0,,No,,0.0,0.0,177.850712,0.0,0.0,0.0,,,,,,211,Paediatric Urology,RJ7,RJ701,,0.0,Other,Unbundled Activities,Other Unbundled Activities**,Other Unbundled Activities**,76.0,,,Diseases of Childhood and Neonates,Paediatric Renal Disorders,Z: Other,OTHER,Z02,Yes,Freeze,,,8.0,AC,1.0,Q2,,PLCM,Not Raised,COMBINED PLCM/599522/411203,Yes,98,13Q,,IPUNB,,CCG info not provided,,CCG info not provided therefore STP info unavailable,Y56,London,QWE,South West London Health & Care Partnership (STP),1.201694,147.99999999999997,0.0,0.0,-1641.0,0.19093399999999994,0.0,425.0,0.0,0.0,0.0,0.0,0.0,180.340621968
3,2.0,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NWL,ADULT SPECIALIST VASCULAR SERVICES,NCBPS30Z,PLD,PLD,226.96207,1.0,OPFA,Outpatients - First Attendance,OPFASPNCL,OPFASPNCL,Cost and Volume,Y,WF01B,WF01B,"Non-Admitted Face-to-Face Attendance, First",0.0,0.0,,No,,0.0,0.0,226.96207,0.0,0.0,0.0,,,,,107,107,Vascular Surgery,RYJ,RYJ01,,0.0,Outpatient,Attendance,First,Single professional,18.0,ATT,Attendance,"Infectious Diseases, Immune System Disorders and other Healthcare contacts",Non-admitted Consultations,A: Internal Medicine,VASCULAR DISEASE,A04,Yes,Freeze,,,4.0,AC,1.0,Q1,,PLCM,Not Queried,PLCM/580791/388196,Yes,SS,13R,NCBPS30Z,OPFASPNCL,Y56,London,QMJ,North London STP,Y56,London,QRV,North West London Health & Care Partnership (STP),1.226822,165.7260593030547,0.0,0.0,,0.21191899999999997,0.0,,188.0,0.0,39.840771999999994,227.840772,227.840772,227.840772
4,2.0,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NWL,ADULT SPECIALIST VASCULAR SERVICES,NCBPS30Z,PLD,PLD,3858.35519,17.0,OPFA,Outpatients - First Attendance,OPFASPNCL,OPFASPNCL,Cost and Volume,Y,WF01B,WF01B,"Non-Admitted Face-to-Face Attendance, First",0.0,0.0,,No,,0.0,0.0,3858.35519,0.0,0.0,0.0,,,,,107,107,Vascular Surgery,RYJ,RYJ01,,0.0,Outpatient,Attendance,First,Single professional,18.0,ATT,Attendance,"Infectious Diseases, Immune System Disorders and other Healthcare contacts",Non-admitted Consultations,A: Internal Medicine,VASCULAR DISEASE,A04,Yes,Freeze,,,4.0,AC,1.0,Q1,,PLCM,Not Queried,PLCM/580791/388196,Yes,SS,13R,NCBPS30Z,OPFASPNCL,Y56,London,QRV,North West London STP,Y56,London,QRV,North West London Health & Care Partnership (STP),1.226822,165.7260593030547,0.0,0.0,,0.21191899999999997,0.0,,188.0,0.0,39.840771999999994,227.840772,3873.293124,3873.293124
5,6.0,ROYAL FREE LONDON NHS FOUNDATION TRUST,NWL,ADULT SPECIALIST VASCULAR SERVICES,NCBPS30Z,PLD,PLD,147.326224,1.0,OPPROCFUP,Outpatient Procedures FUP,OPPROCFUP,OPPROC,Block,Y,JC43A,JC43A,"Minor Skin Procedures, 13 years and over",0.0,0.0,,No,,0.0,0.0,147.326224,0.0,0.0,0.0,,,,,107,107,Vascular Surgery,RAL,RAL26,,0.0,Outpatient,Procedure,Follow-up,Other,36.0,ATT,Attendance,"Skin, Breast and Burns",Skin Procedures,A: Internal Medicine,VASCULAR DISEASE,A04,Yes,Freeze,,,7.0,AC,1.0,Q2,,PLCM,Not Queried,PLCM/619854/440696,Yes,21,13R,NCBPS30z,OPPROCFUP,Y56,London,QMJ,North London STP,Y56,London,QMJ,North London Partners in Health & Care (STP),1.207592,109.28961748633878,0.0,0.0,-335.0,0.1955610000000001,0.0,253.0,125.0,0.0,24.44512500000001,149.44512500000002,149.44512500000002,149.445125
6,6.0,ROYAL FREE LONDON NHS FOUNDATION TRUST,NWL,ADULT SPECIALIST VASCULAR SERVICES,NCBPS30Z,PLD,PLD,301.898,1.0,OPPROCFUP,Outpatient Procedures FUP,OPPROCFUP,OPPROC,Block,Y,JC42A,JC42A,"Intermediate Skin Procedures, 13 years and over",0.0,0.0,,No,,0.0,0.0,301.898,0.0,0.0,0.0,,,,,107,107,Vascular Surgery,RAL,RAL01,,0.0,Outpatient,Procedure,Follow-up,Other,36.0,ATT,Attendance,"Skin, Breast and Burns",Skin Procedures,A: Internal Medicine,VASCULAR DISEASE,A04,Yes,Freeze,,,7.0,AC,1.0,Q2,,PLCM,Not Queried,PLCM/619854/440696,Yes,21,13R,NCBPS30z,OPPROCFUP,Y56,London,QMF,East London STP,Y56,London,QMJ,North London Partners in Health & Care (STP),1.207592,223.95413419331723,0.0,0.0,-761.0,0.1955610000000001,0.0,253.0,256.0,0.0,50.063616000000025,306.063616,306.063616,306.063616
7,7.0,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SW,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,NCBPS08O,PLD,PLD,1773.03797,1.0,DC,Daycase,DC,DC,Block,Y,YA11Z,YA11Z,"Percutaneous Transluminal Arteriography, of Intracranial or Extracranial Blood Vessel",0.0,0.0,,No,,0.0,0.0,1773.03797,0.0,0.0,0.0,,,,,,400,Neurology,RJ7,RJ701,,0.0,Admitted Patient Care,Elective (admission method 11-13),Elective (admission method 11-13),Daycase (patient class 2 & LoS 0),8.0,SPELL,Finished spell,Vascular Procedures and Disorders and Imaging Interventions,Neurological Imaging Interventions,D: Trauma,NEUROSCIENCES,D04,Yes,Freeze,,,8.0,AC,1.0,Q3,,PLCM,Not Queried,COMBINED PLCM/627947/451720,Yes,21,13R,NCBPS08O,DC,Y59,South East Commissioning Region,QNX,Sussex and East Surrey STP,Y56,London,QWE,South West London Health & Care Partnership (STP),1.201694,1371.9999997932373,1372.0,0.0,-141.5512002223527,0.19093399999999994,0.0754,267.0,1410.0,106.314,289.51589727599986,1805.8298972759997,1805.8298972759997,1805.829897276
8,7.0,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,SE,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,NCBPS08O,PLD,PLD,299.0,1.0,B3A,New multi-professional attendances - tariff,OPFAMPCL,OPFAMPCL,Cost and Volume,Y,WF02B,WF02B,"Multiprofessional Non-Admitted Face-to-Face Attendance, First",0.0,0.0,,No,3411SM,0.0,0.0,299.0,0.0,0.0,0.0,,,,,34182,341,Respiratory Physiology,RJ1,RJ122,,0.0,Outpatient,Attendance,First,Multi-professional,19.0,ATT,Attendance,"Infectious Diseases, Immune System Disorders and other Healthcare contacts",Non-admitted Consultations,D: Trauma,NEUROSCIENCES,D04,Yes,Freeze,,,2.0,AC,1.0,Q3,,PLCM,Not Queried,COMBINED PLCM/626982/446280,Yes,21,Q71,NCBPS08O,OPFAMPCL,Y59,South East Commissioning Region,QXU,Surrey Heartlands Health and Care Partnership,Y56,London,QKK,Our Healthier South East London STP,1.257577,221.08871233991164,0.0,0.0,,0.23812600000000006,0.0,,241.0,0.0,57.38836600000001,298.388366,298.388366,298.388366
9,7.0,ST GEORGE’S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SW,ADULT SPECIALIST NEUROSCIENCES SERVICES: NEUROLOGY,NCBPS08O,PLD,PLD,496.243863,1.0,EL,Elective,EL,EL,Block,Y,AA30D,AA30D,"Medical Care of Patients with Multiple Sclerosis, with CC Score 5-7",0.0,0.0,,No,,0.0,0.0,496.243863,0.0,0.0,0.0,,,,,,400,Neurology,RJ7,RJ701,,0.0,Admitted Patient Care,Elective (admission method 11-13),Elective (admission method 11-13),Ordinary elective (patient class 1),9.0,SPELL,Finished spell,Nervous System,Nervous System Procedures and Disorders,D: Trauma,NEUROSCIENCES,D04,Yes,Freeze,,,8.0,AC,1.0,Q3,,PLCM,Not Queried,COMBINED PLCM/627947/451720,Yes,21,13R,NCBPS08O,EL,Y59,South East Commissioning Region,QXU,Surrey Heartlands Health and Care Partnership,Y56,London,QWE,South West London Health & Care Partnership (STP),1.201694,383.99999969171284,384.0,0.0,-4058.046400331532,0.19093399999999994,0.0754,257.0,393.0,29.632199999999997,80.69485647479996,503.3270564747999,503.3270564747999,503.327056475
